Country,State,Year,As On Date,Figures Type,Additional Info,Total Police Expenditure Of Current Year (UOM:INR(IndianRupees)),Total Police Expenditure Increase Or Decrease Over Previous Year (UOM:INR(IndianRupees)),Total Police Training Expenditure Of Current Year (UOM:INR(IndianRupees)),Total Police Training Expenditure Increase Or Decrease Over Previous Year (UOM:INR(IndianRupees)),Percentage Of Total Police Training Expenditure To Total Police Expenditure (%) (UOM:%(Percentage))
India,Goa,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,153.61,23.83,0.62,0.11,0.4
India,Goa,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,153.61,,0.62,,
India,Goa,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,183.94,30.33,0.71,0.09,0.39
India,Goa,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,183.94,,0.71,,
India,Goa,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,193.88,9.94,0.64,-0.07,0.33
India,Goa,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,193.88,,0.64,,
India,Goa,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,244.64,50.76,0.64,,0.26
India,Goa,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,244.64,,0.64,,
India,Goa,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,257.7,13.06,1.25,0.61,0.49
India,Goa,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,257.7,,1.25,,
India,Goa,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,266.23,8.53,1.08,-0.17,0.41
India,Goa,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,266.23,,1.08,,
India,Goa,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,350.33,84.1,1.31,0.23,0.37
India,Goa,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,350.33,,1.31,,
India,Goa,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,265.89,-84.44,1.2,-0.11,0.45
India,Goa,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,265.89,,1.2,,
India,Goa,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,491.53,225.64,1.82,0.62,2.06
India,Goa,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,489.81,,1.74,,
India,Goa,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,505.93,16.12,1.74,,0.34
India,Goa,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,505.93,,1.83,,
India,Goa,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,514.39,8.46,1.77,-0.06,0.34
India,Goa,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,539.3,,1.76,,
India,Goa,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,420.41,-118.89,1.71,-0.06,0.41
India,Goa,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,565.12,,2.14,,
India,Goa,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,615.54,50.42,2.43,0.29,0.39
India,Goa,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,615.54,,2.43,,
India,Goa,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,678.99,63.46,2.79,0.36,0.41
India,Gujarat,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,1139.42,,8.44,,
India,Gujarat,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1502.88,363.46,14.57,6.13,0.97
India,Gujarat,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1502.88,,14.57,,
India,Gujarat,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1914.19,411.31,18.64,4.07,0.97
India,Gujarat,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1914.19,,18.64,,
India,Gujarat,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,2203.9,289.71,22.64,4,1.03
India,Gujarat,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,2203.9,,22.64,,
India,Gujarat,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,1750.61,-453.29,31.04,8.4,1.77
India,Gujarat,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,1750.61,,31.04,,
India,Gujarat,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,1879,128.39,19,-12.04,1.01
India,Gujarat,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,1879,,19,,
India,Gujarat,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,2514.6,635.6,34.08,15.08,1.36
India,Gujarat,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,2514.6,,34.08,,
India,Gujarat,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,2356.29,-158.31,21.11,-12.97,0.9
India,Gujarat,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,2356.29,,21.11,,
India,Gujarat,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,3161.65,805.36,39.28,18.17,1.24
India,Gujarat,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,3495.97,,35.41,,
India,Gujarat,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,4430.86,934.89,54.08,18.67,2.06
India,Gujarat,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,4428.18,,54.09,,
India,Gujarat,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,4842.33,414.15,46.71,-7.38,0.96
India,Gujarat,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,4842.06,,46.71,,
India,Gujarat,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,4732.97,-109.09,43.99,-2.72,0.93
India,Gujarat,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,5121.09,,44,,
India,Gujarat,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,5312.32,191.23,52.53,8.53,0.99
India,Gujarat,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,5312.32,,52.53,,
India,Gujarat,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,3859.51,-1452.81,33.9,-18.63,0.88
India,Gujarat,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,5492.1,,48.25,,
India,Gujarat,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,4553.73,-938.37,41.98,-6.27,0.92
India,Haryana,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,813.56,,11.84,,
India,Haryana,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1389.9,576.34,17.52,5.68,1.26
India,Haryana,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1389.9,,17.52,,
India,Haryana,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1566.55,176.65,20.68,3.16,1.32
India,Haryana,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1566.55,,20.68,,
India,Haryana,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,1542.76,-23.79,19.54,-1.14,1.27
India,Haryana,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,1542.76,,19.54,,
India,Haryana,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,1841.68,298.92,16.23,-3.31,0.88
India,Haryana,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,1841.68,,16.23,,
India,Haryana,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,1612.85,-228.83,13.13,-3.1,0.81
India,Haryana,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,1612.85,,13.13,,
India,Haryana,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,2554.77,941.92,28.44,15.31,1.11
India,Haryana,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,2554.77,,28.44,,
India,Haryana,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,2728.81,174.04,28.58,0.14,1.05
India,Haryana,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,2728.81,,28.58,,
India,Haryana,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,3376.53,647.72,31.45,2.87,0.93
India,Haryana,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,3456.75,,31.45,,
India,Haryana,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,3574.89,118.14,33.6,2.15,2.06
India,Haryana,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,3574.89,,33.58,,
India,Haryana,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,3873.63,298.74,38.51,4.93,0.99
India,Haryana,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,4133.05,,37.07,,
India,Haryana,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,4417,283.95,43.4,6.33,0.98
India,Haryana,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,4422.55,,70.15,,
India,Haryana,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,4618,195.45,73.49,3.34,1.59
India,Haryana,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,4618.91,,41.3,,
India,Haryana,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,5064.08,445.17,1.57,-39.73,0.03
India,Haryana,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,5059.66,,46.55,,
India,Haryana,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,5567.61,507.95,65.17,18.62,1.17
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,305.34,,0.43,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,319.93,14.59,0.22,-0.21,0.07
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,319.93,,0.22,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,442.51,122.58,0.91,0.69,0.21
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,442.51,,0.91,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,472.94,30.43,0.56,-0.35,0.12
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,472.94,,0.56,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,584.32,111.38,0.34,-0.22,0.06
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,584.32,,0.34,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,613.27,28.95,0.56,0.22,0.09
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,613.27,,0.56,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,675.13,61.86,36.78,36.22,5.45
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,675.13,,36.78,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,598.64,-76.49,0.43,-36.35,0.07
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,598.64,,0.43,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,676.94,78.3,0.42,-0.01,0.06
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,900.51,,0.56,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,1042,141.49,0.59,0.03,2.06
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,1042,,0.59,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,1089.72,47.72,0.57,-0.02,0.05
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,1081.29,,0.56,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,1364.07,282.78,0.9,0.34,0.07
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,1141.05,,1.03,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,948.12,-192.93,0.06,-0.97,0.01
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,1167.27,,0.58,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,1196.77,29.5,0.45,-0.13,0.04
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,1293,,0.46,,
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,1582,289,0.45,-0.01,0.03
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,1374.610583,,19.5625372,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1240.50939,-134.1011925,19.5625372,,1.58
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1240.50939,,19.5625372,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1528.79272,288.2833295,25.57801739,6.015480189,1.67
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1528.79272,,25.57801739,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,2123.669913,594.8771937,56.71179535,31.13377796,2.67
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,2123.669913,,56.71179535,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,2336.06038,212.3904664,51.62553567,-5.086259672,2.21
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,2336.06038,,51.62553567,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,2110.181544,-225.8788358,38.79251127,-12.8330244,1.84
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,2110.181544,,38.79251127,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,3134.094522,1023.912978,0.2738755208,-38.51863575,0.01
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,3134.094522,,0.2738755208,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,3917.222012,783.1274892,63.87168396,63.59780844,1.63
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,3917.222012,,63.87168396,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,2688.146924,-1229.075087,0.2151879092,-63.65649605,0.01
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,3928.362877,,72.89001361,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,,,76.82208359,3.932069977,2.06
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,4278.013885,,76.99814642,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,6348.85,1975.17,115.78,37.06,1.82
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,6719.17,,0.47,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,6606.58,-112.59,115.63,115.16,1.75
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,6612.5,,93.74,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,6762.32,149.82,109,15.26,1.61
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,6595.68,,104.66,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,7337.33,741.65,82,-22.66,1.12
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,7337.33,,82,,
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,7918.14,580.81,0.37,-81.63,0
India,Jharkhand,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,1252.73,,0.83,,
India,Jharkhand,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1499,246.27,0.14,-0.69,0.01
India,Jharkhand,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1499,,0.14,,
India,Jharkhand,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1595.26,96.26,0.97,0.83,0.06
India,Jharkhand,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1595.26,,0.97,,
India,Jharkhand,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,2034.45,439.19,3.2,2.23,0.16
India,Jharkhand,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,2034.45,,3.2,,
India,Jharkhand,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,2153.41,118.96,10.85,7.65,0.5
India,Jharkhand,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,2153.41,,10.85,,
India,Jharkhand,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,2403.72,250.31,33.36,22.51,1.39
India,Jharkhand,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,2403.72,,33.36,,
India,Jharkhand,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,2555.3,151.58,28.25,-5.11,1.11
India,Jharkhand,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,2555.3,,28.25,,
India,Jharkhand,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,2827.26,271.96,30.25,2,1.07
India,Jharkhand,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,2827.26,,30.25,,
India,Jharkhand,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,2579.73,-247.53,16.32,-13.93,0.63
India,Jharkhand,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,2995.55,,0.24,,
India,Jharkhand,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,3952.42,956.87,0.34,0.1,2.06
India,Jharkhand,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,3952.42,,0.34,,
India,Jharkhand,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,4104.99,152.57,0.35,0.01,0.01
India,Jharkhand,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,4104.99,,52.95,,
India,Jharkhand,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,4975.42,870.43,58.86,5.91,1.18
India,Jharkhand,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,4975.42,,58.86,,
India,Jharkhand,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,4751.99,-223.43,41.04,-17.82,0.86
India,Jharkhand,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,4751.99,,41.04,,
India,Jharkhand,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,5012.99,261,48.89,7.85,0.98
India,Jharkhand,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,5012.99,,48.89,,
India,Jharkhand,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,5559.82,546.83,60.34,11.45,1.09
India,Karnataka,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,1325.08,,16.32,,
India,Karnataka,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,1941.62,616.54,14.05,-2.27,0.72
India,Karnataka,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,1941.62,,14.05,,
India,Karnataka,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1962.56,20.94,18.58,4.53,0.95
India,Karnataka,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1962.56,,18.58,,
India,Karnataka,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,2316.53,353.97,19.99,1.41,0.86
India,Karnataka,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,2316.53,,19.99,,
India,Karnataka,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,2157.55,-158.98,18.35,-1.64,0.85
India,Karnataka,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,2157.55,,18.35,,
India,Karnataka,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,2261.17,103.62,36.79,18.44,1.63
India,Karnataka,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,2261.17,,36.79,,
India,Karnataka,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,2539.87,278.7,72.12,35.33,2.84
India,Karnataka,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,2539.87,,72.12,,
India,Karnataka,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,2556.53,16.66,19.63,-52.49,0.77
India,Karnataka,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,2556.53,,19.63,,
India,Karnataka,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,4020.62,1464.09,29.76,10.13,0.74
India,Karnataka,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,4020.62,,44.01,,
India,Karnataka,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,4589.84,569.22,45.54,1.53,2.06
India,Karnataka,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,4578.14,,46.88,,
India,Karnataka,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,5456.53,878.39,63.85,16.97,1.17
India,Karnataka,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,5456.53,,63.85,,
India,Karnataka,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,4102.06,-1354.47,45.96,-17.89,1.12
India,Karnataka,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,5527.2,,65.72,,
India,Karnataka,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,4236.32,-1290.88,54.63,-11.09,1.29
India,Karnataka,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,5939.94,,76.71,,
India,Karnataka,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,6758.36,818.42,83.81,7.1,1.24
India,Karnataka,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,6758.36,,83.81,,
India,Karnataka,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,5482.63,-1275.73,,-83.81,0
India,Kerala,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,995.38,,12.93,,
India,Kerala,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,975,-20.38,15.28,2.35,1.57
India,Kerala,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,975,,15.28,,
India,Kerala,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,1151,176,18.26,2.98,1.59
India,Kerala,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,1151,,18.26,,
India,Kerala,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,1618,467,29.37,11.11,1.82
India,Kerala,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,1618,,29.37,,
India,Kerala,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,1526.21,-91.79,35.12,5.75,2.3
India,Kerala,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,1526.21,,35.12,,
India,Kerala,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,1578.97,52.76,16.67,-18.45,1.06
India,Kerala,"Financial Year (Apr - Mar), 2013",01-Jan-2015,Revised,,1578.97,,16.67,,
India,Kerala,"Financial Year (Apr - Mar), 2014",01-Jan-2015,Tentative,,2382.72,803.75,10.18,-6.49,0.43
India,Kerala,"Financial Year (Apr - Mar), 2014",01-Jan-2016,Revised,,2382.72,,10.18,,
India,Kerala,"Financial Year (Apr - Mar), 2015",01-Jan-2016,Tentative,,2589.84,207.12,6.37,-3.81,0.25
India,Kerala,"Financial Year (Apr - Mar), 2015",01-Jan-2017,Revised,,2589.84,,6.37,,
India,Kerala,"Financial Year (Apr - Mar), 2016",01-Jan-2017,Tentative,,2578.34,-11.5,5.82,-0.55,0.23
India,Kerala,"Financial Year (Apr - Mar), 2016",01-Jan-2018,Revised,,3110.03,,5.82,,
India,Kerala,"Financial Year (Apr - Mar), 2017",01-Jan-2018,Tentative,,3110.03,0,52,46.18,2.06
India,Kerala,"Financial Year (Apr - Mar), 2017",01-Jan-2019,Revised,,3742.44,,34.26,,
India,Kerala,"Financial Year (Apr - Mar), 2018",01-Jan-2019,Tentative,,3463.79,-278.65,42.98,8.72,1.24
India,Kerala,"Financial Year (Apr - Mar), 2018",01-Jan-2020,Revised,,3463.8,,0.02,,
India,Kerala,"Financial Year (Apr - Mar), 2019",01-Jan-2020,Tentative,,3612.83,149.03,0,-0.02,0
India,Kerala,"Financial Year (Apr - Mar), 2019",01-Jan-2021,Revised,,3612.24,,0,,
India,Kerala,"Financial Year (Apr - Mar), 2020",01-Jan-2021,Tentative,,3402.47,-209.77,,0,0
India,Kerala,"Financial Year (Apr - Mar), 2020",01-Jan-2022,Revised,,3381.77,,,,
India,Kerala,"Financial Year (Apr - Mar), 2021",01-Jan-2022,Tentative,,5087.52,1705.75,,,0
India,Kerala,"Financial Year (Apr - Mar), 2021",01-Jan-2023,Revised,,5087.52,,,,
India,Kerala,"Financial Year (Apr - Mar), 2022",01-Jan-2023,Tentative,,4341.35,-746.17,,,0
India,Ladakh,"Financial Year (Apr - Mar), 2008",01-Jan-2010,Revised,,30.73941723,,0.437462799,,
India,Ladakh,"Financial Year (Apr - Mar), 2009",01-Jan-2010,Tentative,,27.74060974,-2.998807487,0.437462799,,1.58
India,Ladakh,"Financial Year (Apr - Mar), 2009",01-Jan-2011,Revised,,27.74060974,,0.437462799,,
India,Ladakh,"Financial Year (Apr - Mar), 2010",01-Jan-2011,Tentative,,34.18728028,6.446670538,0.5719826097,0.1345198107,1.67
India,Ladakh,"Financial Year (Apr - Mar), 2010",01-Jan-2012,Revised,,34.18728028,,0.5719826097,,
India,Ladakh,"Financial Year (Apr - Mar), 2011",01-Jan-2012,Tentative,,47.49008654,13.30280626,1.268204654,0.6962220446,2.67
India,Ladakh,"Financial Year (Apr - Mar), 2011",01-Jan-2013,Revised,,47.49008654,,1.268204654,,
India,Ladakh,"Financial Year (Apr - Mar), 2012",01-Jan-2013,Tentative,,52.23962014,4.749533609,1.154464327,-0.1137403277,2.21
India,Ladakh,"Financial Year (Apr - Mar), 2012",01-Jan-2014,Revised,,52.23962014,,1.154464327,,
India,Ladakh,"Financial Year (Apr - Mar), 2013",01-Jan-2014,Tentative,,47.18845594,-5.051164209,0.8674887305,-0.2869755962,1.84
